subject,gender,age,sias,stai,rt_neutral_kongruent,rt_angry_kongruent,rt_neutral_inkongruent,rt_angry_inkongruent,accuracy_neutral_kongruent,accuracy_angry_kongruent,accuracy_neutral_inkongruent,accuracy_angry_inkongruent,antic_dist,antic_roiSwitches,cue_dwell_angry,cue_dwell_neutral,cue_lat_angry,cue_lat_neutral
01,female,22,1.5,1.3,0.4752107484302925,0.48606929222328793,0.5957795172560446,0.5849582379290449,1,0.9895833333333334,1,0.96875,285.60527777558724,0,0.85434375,0.833890625,389.1015625,400.3828125
02,male,21,2.5,1.85,0.6100497119604489,0.5932470318671971,0.6891521833448981,0.6770655933301896,1,0.9895833333333334,1,1,NA,NA,NA,NA,NA,NA
03,male,24,1.45,1.4,0.5048138126326529,0.47856177222630425,0.5943981615530972,0.5836099645220524,0.9895833333333334,0.96875,1,1,NA,NA,NA,NA,NA,NA
04,female,23,1.9,1.8,0.5921238797816207,0.5909553616991307,0.6725528499965245,0.6735613064524988,0.9895833333333334,1,0.96875,1,1957.675278622766,0.84765625,0.9098697916666667,0.9138802083333334,256.96875,274.4609375
05,female,33,1.85,1.9,0.4797989869510512,0.4543306252837263,0.5587006074169444,0.5370494428789243,0.9583333333333334,0.9479166666666666,0.9375,0.90625,1466.8807949156283,0.58203125,0.983984375,0.97246875,227.921875,243.703125
06,female,27,2.3,2.2,0.7339841244653105,0.7281398122017789,0.8195408310436098,0.8320955379288001,0.9895833333333334,1,1,1,1503.721282137079,0.62109375,0.8448958333333333,0.8157552083333334,221.140625,227.28125
07,female,23,1.55,1.8,0.5263723954049891,0.5082880838784158,0.6209385178600704,0.5959144161428295,0.9375,0.9895833333333334,0.96875,1,1336.112656719014,0.6796875,0.8026041666666667,0.8123333333333334,313.6796875,300.8046875
08,female,23,1.4,2.2,0.7463112461718393,0.7246574489275944,0.8021846437404747,0.7645864629497131,0.9895833333333334,0.9895833333333334,1,0.96875,3094.0770622930404,2.26171875,0.78378125,0.7479739583333334,211.3984375,247.015625
09,male,26,2.8,2,0.6963081282579957,0.644298863739855,0.7497912758624117,0.7470630034422984,0.9791666666666666,0.9791666666666666,1,1,1323.0922975399005,0.4609375,0.894421875,0.8874322916666667,312.2890625,304.5859375
10,female,24,3.25,3.05,0.488738376401977,0.4867485152940978,0.6246628652139485,0.5868359999939068,0.9479166666666666,0.90625,0.875,0.90625,340.97353928818313,0.01171875,0.8905677083333333,0.8900520833333333,358.4921875,344.9140625
11,female,21,2.9,2.1,0.6810400068964648,0.6975025684830894,0.7556583093701192,0.7500613062529737,0.9895833333333334,0.9895833333333334,1,1,2625.8836881290395,1.39453125,0.8626145833333333,0.857234375,210.9140625,221.3125
12,female,23,3.2,2.65,0.4966651428552283,0.5090929488097096,0.5978091791742676,0.590125217238955,0.9583333333333334,0.9270833333333334,0.8125,0.9375,1552.4664392905045,0.6796875,0.8190833333333334,0.8193125,228.921875,238.46875
13,male,30,2.85,2.5,0.9501315847066615,1.1112592863650979,0.9708816137843251,1.1975088076948082,0.8854166666666666,0.75,0.90625,0.84375,NA,NA,NA,NA,NA,NA
14,female,21,2.4,2.05,0.4799263159094897,0.4579614956474752,0.5297326633318638,0.5491721741836367,0.9479166666666666,0.9895833333333334,0.96875,1,2911.729414022743,1.4453125,0.84982291666666665,0.827546875,231.796875,259.34375
